title,price,pegi_rating,platform
,,,PlayStation 5
,,,
Overcooked! All You Can Eat,"21,39",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
Overcooked! All You Can Eat,"21,39",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"21,39",,PlayStation 5
,,,
Paw Patrol: Grand Prix - PS5,"32,99",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
Paw Patrol: Grand Prix - PS5,"32,99",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"32,99",Advies: ,PlayStation 5
,,,
SnowRunner,"34,99",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
SnowRunner,"34,99",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"34,99",Advies: ,PlayStation 5
,,,
Marvel's Guardians of the Galaxy (PlayStation PS5),"37,48",USK-beoordeling: Vanaf 12 jaar,PlayStation 5
,,,
Marvel's Guardians of the Galaxy (PlayStation PS5),"37,48",USK-beoordeling: Vanaf 12 jaar,PlayStation 5
,"37,48",,PlayStation 5
,,,
Destroy All Humans 2 Reprobed PS5,"18,49",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Destroy All Humans 2 Reprobed PS5,"18,49",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"18,49",Advies: ,PlayStation 5
,,,
Gran Turismo 7 - PS5,"74,99",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
Gran Turismo 7 - PS5,"74,99",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"74,99",Advies: ,PlayStation 5
,,,
Lake PS5,"20,00",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Lake PS5,"20,00",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"20,00",,PlayStation 5
,,,
Wreckfest (PS5) (PS5),"26,92",PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
Wreckfest (PS5) (PS5),"26,92",PEGI-rating: 12 jaar en ouder,PlayStation 5
,"26,92",Advies: ,PlayStation 5
,,,
PEPPA PIG WORLD ADVENTURES,"33,10",,PlayStation 5
,,,
PEPPA PIG WORLD ADVENTURES,"33,10",,PlayStation 5
,"33,10",,PlayStation 5
,,,
"Lioncast Draadloze microfoon set van 2 voor Playstation 5 / PS5 / PS4, PC, Wii, Xbox, Nintendo Switch, dubbele microfoons draadloos voor karaoke Let's Sing, Voice of Germany, SingStar, Playstation Accessoires","50,99",,
,,,
"Lioncast Draadloze microfoon set van 2 voor Playstation 5 / PS5 / PS4, PC, Wii, Xbox, Nintendo Switch, dubbele microfoons draadloos voor karaoke Let's Sing, Voice of Germany, SingStar, Playstation Accessoires","50,99",,
,"50,99",,
,,,
Life is Strange True Colors (Playstation 5),"24,99",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Life is Strange True Colors (Playstation 5),"24,99",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"24,99",Meer mogelijkheden,PlayStation 5
,,,
,,,
,,,
,,,
,,,
PGA Tour 2K23 - PS5,"39,93",PEGI-rating: 3 jaar en ouder,PlayStation 5
PGA Tour 2K23 - PS5,"39,93",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
PGA Tour 2K23 - PS5,"39,93",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"39,93",,PlayStation 5
,,,
Godfall,"26,93",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Godfall,"26,93",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"26,93",Meer mogelijkheden,PlayStation 5
,,,
Ghostwire Tokyo - PS5,"26,08",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Ghostwire Tokyo - PS5,"26,08",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"26,08",Advies: ,PlayStation 5
,,,
Subnautica Below Zero PS5,"18,00",PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
Subnautica Below Zero PS5,"18,00",PEGI-rating: 12 jaar en ouder,PlayStation 5
,"18,00",,PlayStation 5
,,,
A Plague Tale : Innocence,"28,95",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
A Plague Tale : Innocence,"28,95",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"28,95",Meer mogelijkheden,PlayStation 5
