title,price,pegi_rating,platform
Pokémon Scarlet - NL Versie (Nintendo Switch),"48,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"48,99",Advies: ,Nintendo Switch
,,,
Cult of the Lamb: Deluxe Edition - Switch,"35,34",PEGI-rating: 18 jaar en ouder,Nintendo Switch
,,,
Cult of the Lamb: Deluxe Edition - Switch,"35,34",PEGI-rating: 18 jaar en ouder,Nintendo Switch
,"35,34",Mediaan: ,Nintendo Switch
,,,
Animal Crossing : New Horizons Nintendo Switch,"48,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Animal Crossing : New Horizons Nintendo Switch,"48,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"48,95",,Nintendo Switch
,,,
Nintendo Switch Animal Crossing: New Horizons,"48,89",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Animal Crossing: New Horizons,"48,89",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"48,89",Advies: ,Nintendo Switch
,,,
Horse Club Adventures - NL-Versie (Nintendo Switch),"37,76",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Horse Club Adventures - NL-Versie (Nintendo Switch),"37,76",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"37,76",Advies: ,Nintendo Switch
,,,
Ring Fit Adventure - NL versie (Nintendo Switch),"65,95",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Ring Fit Adventure - NL versie (Nintendo Switch),"65,95",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"65,95",Advies: ,Nintendo Switch
,,,
No Man's Sky - Nintendo Switch,"49,95",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
No Man's Sky - Nintendo Switch,"49,95",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"49,95",Advies: ,Nintendo Switch
,,,
"Just Dance 2022 (Inclusief ""Waterval"" van K3) (Nintendo Switch)","33,00",PEGI-rating: 3 jaar en ouder,Switch
,,,
"Just Dance 2022 (Inclusief ""Waterval"" van K3) (Nintendo Switch)","33,00",PEGI-rating: 3 jaar en ouder,Switch
,"33,00",Meer mogelijkheden,Switch
,,,
Nintendo Switch Kirby´s Return to Dreamland Deluxe,"49,98",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Kirby´s Return to Dreamland Deluxe,"49,98",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"49,98",Mediaan: ,Nintendo Switch
,,,
JUSTFORGAMES 18COLLI2 KLEUREN LIVE (STYLO DE DETECTION DE PRESSION INCLUS) - SCHAKELAAR,"39,45",,
,,,
JUSTFORGAMES 18COLLI2 KLEUREN LIVE (STYLO DE DETECTION DE PRESSION INCLUS) - SCHAKELAAR,"39,45",,
,"39,45",,
,,,
TUNIC - Switch,"37,65",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
TUNIC - Switch,"37,65",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"37,65",,Nintendo Switch
,,,
Mario + Rabbids Kingdom Battle (Nintendo Switch),"29,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Mario + Rabbids Kingdom Battle (Nintendo Switch),"29,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"29,99",Meer mogelijkheden,Nintendo Switch
,,,
,,,
,,,
,,,
,,,
Cities Skylines (Switch) (Nintendo Switch),"29,34",PEGI-rating: 3 jaar en ouder,Nintendo Switch
Cities Skylines (Switch) (Nintendo Switch),"29,34",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Cities Skylines (Switch) (Nintendo Switch),"29,34",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"29,34",Meer mogelijkheden,Nintendo Switch
,,,
Nintendo Switch Fire Emblem Engage,"49,99",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Fire Emblem Engage,"49,99",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"49,99",Mediaan: ,Nintendo Switch
,,,
Atari 50: The Anniversary Celebration - Switch,"29,99",Advies: ,Nintendo Switch
,,,
Atari 50: The Anniversary Celebration - Switch,"29,99",Advies: ,Nintendo Switch
,"29,99",Advies: ,Nintendo Switch
,,,
Xenoblade Chronicles 3,"44,99",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Xenoblade Chronicles 3,"44,99",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"44,99",Advies: ,Nintendo Switch
,,,
Nintendo Switch Captain Toad: Treasure Tracker,"35,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Captain Toad: Treasure Tracker,"35,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"35,95",Advies: ,Nintendo Switch
,,,
TAIKO NO TATSUJIN RYTHM FESTIVAL,"104,95",Advies: ,Nintendo Switch
,,,
TAIKO NO TATSUJIN RYTHM FESTIVAL,"104,95",Advies: ,Nintendo Switch
,"104,95",Advies: ,Nintendo Switch
,,,
Mario + Rabbids Kingdom Battle Ben Switch,"23,39",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Mario + Rabbids Kingdom Battle Ben Switch,"23,39",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"23,39",Advies: ,Nintendo Switch
,,,
Nintendo Switch Luigi's Mansion 3,"48,95",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Luigi's Mansion 3,"48,95",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"48,95",Advies: ,Nintendo Switch
,,,
Big Brain Academy: Knappe Koppen NL Versie - Nintendo Switch,"26,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Big Brain Academy: Knappe Koppen NL Versie - Nintendo Switch,"26,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"26,99",Advies: ,Nintendo Switch
,,,
Teenage Mutant Ninja Turtles: The Cowabunga Collection - Switch,"29,99",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Teenage Mutant Ninja Turtles: The Cowabunga Collection - Switch,"29,99",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"29,99",Advies: ,Nintendo Switch
,,,
Zumba Burn It Up (Nintendo Switch),"33,30",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Zumba Burn It Up (Nintendo Switch),"33,30",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"33,30",Advies: ,Nintendo Switch
,,,
Celeste - Switch,"30,85",,Nintendo Switch
,,,
Celeste - Switch,"30,85",,Nintendo Switch
,"30,85",,Nintendo Switch
,,,
"Nintendo Switch Pokemon: Let's Go, Pikachu!","48,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
"Nintendo Switch Pokemon: Let's Go, Pikachu!","48,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"48,95",Advies: ,Nintendo Switch
,,,
Rayman Legends Definitive Edition Ben Switch,"19,50",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Rayman Legends Definitive Edition Ben Switch,"19,50",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"19,50",Advies: ,Nintendo Switch
,,,
Minecraft,"29,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Minecraft,"29,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"29,99",Mediaan: ,Nintendo Switch
,,,
Diablo Eternal Collection (Nintendo Switch),"32,89",PEGI-rating: 16 jaar en ouder,Nintendo Switch
,,,
Diablo Eternal Collection (Nintendo Switch),"32,89",PEGI-rating: 16 jaar en ouder,Nintendo Switch
,"32,89",Advies: ,Nintendo Switch
,,,
,,,
,,,
,,,
,,,
Hello Neighbor (Nintendo Switch),"22,00",PEGI-rating: 7 jaar en ouder,Nintendo Switch
Hello Neighbor (Nintendo Switch),"22,00",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Hello Neighbor (Nintendo Switch),"22,00",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"22,00",Advies: ,Nintendo Switch
,,,
Witcher 3: Wild Hunt - Base Game (Nintendo Switch),"29,95",PEGI-rating: 18 jaar en ouder,Nintendo Switch
,,,
Witcher 3: Wild Hunt - Base Game (Nintendo Switch),"29,95",PEGI-rating: 18 jaar en ouder,Nintendo Switch
,"29,95",Advies: ,Nintendo Switch
,,,
The Layton Adventure - Deluxe Edition Switch Game,"39,01",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
The Layton Adventure - Deluxe Edition Switch Game,"39,01",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"39,01",,Nintendo Switch
,,,
Crash Bandicoot N. Sane Trilogy (Nintendo Switch),"26,27",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Crash Bandicoot N. Sane Trilogy (Nintendo Switch),"26,27",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"26,27",Advies: ,Nintendo Switch
,,,
Lego Jurassic World NSW (Nintendo Switch),"17,95",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Lego Jurassic World NSW (Nintendo Switch),"17,95",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"17,95",Advies: ,Nintendo Switch
,,,
PAW Patrol The Movie: Adventure City Calls - Nintendo Switch,"19,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
PAW Patrol The Movie: Adventure City Calls - Nintendo Switch,"19,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"19,95",Advies: ,Nintendo Switch
,,,
LEGO Harry Potter Years 1-7 Collection (Nintendo Switch),"26,75",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
LEGO Harry Potter Years 1-7 Collection (Nintendo Switch),"26,75",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"26,75",Advies: ,Nintendo Switch
,,,
Super Mario Maker 2 - Standard Edition [Nintendo Switch],"49,95",USK-beoordeling: Geen leeftijdsbeperking,Nintendo Switch
,,,
Super Mario Maker 2 - Standard Edition [Nintendo Switch],"49,95",USK-beoordeling: Geen leeftijdsbeperking,Nintendo Switch
,"49,95",Meer mogelijkheden,Nintendo Switch
,,,
30 in 1 Collection Vol 1 NS,"29,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
30 in 1 Collection Vol 1 NS,"29,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"29,99",Meer mogelijkheden,Nintendo Switch
,,,
Nintendo Switch Live a Live,"38,22",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Live a Live,"38,22",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"38,22",,Nintendo Switch
,,,
Need for Speed: Hot Pursuit Remastered - Nintendo Switch,"29,98",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Need for Speed: Hot Pursuit Remastered - Nintendo Switch,"29,98",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"29,98",Meer mogelijkheden,Nintendo Switch
,,,
Overcooked! + Overcooked! 2 (Nintendo Switch),"29,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Overcooked! + Overcooked! 2 (Nintendo Switch),"29,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"29,99",Meer mogelijkheden,Nintendo Switch
,,,
Hollow Knight (Nintendo Switch),"33,00",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Hollow Knight (Nintendo Switch),"33,00",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"33,00",Advies: ,Nintendo Switch
,,,
Mario Strikers : Battle League Football,"47,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Mario Strikers : Battle League Football,"47,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"47,99",Advies: ,Nintendo Switch
,,,
Paw Patrol: On a Roll (Nintendo Switch),"24,42",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Paw Patrol: On a Roll (Nintendo Switch),"24,42",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"24,42",Advies: ,Nintendo Switch
,,,
Nintendo Switch Yoshi's Crafted World,"48,01",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Yoshi's Crafted World,"48,01",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"48,01",Advies: ,Nintendo Switch
,,,
,,,
,,,
,,,
,,,
Cult of the Lamb - Switch,"34,99",PEGI-rating: 18 jaar en ouder,Nintendo Switch
Cult of the Lamb - Switch,"34,99",PEGI-rating: 18 jaar en ouder,Nintendo Switch
,,,
Cult of the Lamb - Switch,"34,99",PEGI-rating: 18 jaar en ouder,Nintendo Switch
,"34,99",,Nintendo Switch
,,,
ORI - The Collection,"46,41",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
ORI - The Collection,"46,41",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"46,41",Advies: ,Nintendo Switch
,,,
SIGNALIS - Switch,"27,50",PEGI-rating: 16 jaar en ouder,Nintendo Switch
,,,
SIGNALIS - Switch,"27,50",PEGI-rating: 16 jaar en ouder,Nintendo Switch
,"27,50",Advies: ,Nintendo Switch
,,,
"Spongebob SquarePants: Battle for Bikini Bottom - Rehydrated, Nintendo Switch (Nintendo Switch)","19,85",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
"Spongebob SquarePants: Battle for Bikini Bottom - Rehydrated, Nintendo Switch (Nintendo Switch)","19,85",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"19,85",Advies: ,Nintendo Switch
,,,
LEGO: Marvel Super Heroes - Nintendo Switch,"27,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
LEGO: Marvel Super Heroes - Nintendo Switch,"27,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"27,99",,Nintendo Switch
,,,
Bratz: Flaunt your Fashion - Switch,"29,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
